_id,commText,overNumber,batTeamName,batsman_name,bowler_name,batsman_id,bowler_id,batter_hand,bowler_hand,bowler_type,venue,is_wicket,wicket_type,shot_played,ball_length,ball_line,batting_control,bowling_variation,shot_direction,inning,runs
66169," Joshua Little to Dhoni, 1 run, CSK finish with 178/7! Dhoni swipes this over square leg with a powerful pull, but the lack of pace and bounce doesn't allow him to middle it. Just a single to end the innings ",19.6,CSK,MS Dhoni,Joshua Little,265,11128,right,left,pace,Narendra Modi Stadium,False,N/A,pull,,leg-stump,in-control,slower,square,1,1
66169," Joshua Little to Dhoni, no run, slower one outside off, keeps a touch low, Dhoni swings and misses ",19.5,CSK,MS Dhoni,Joshua Little,265,11128,right,left,pace,Narendra Modi Stadium,False,N/A,pushed slightly,,outside-off,no-control,slower,keeper,1,0
66169," Joshua Little to Dhoni, FOUR, and now Hardik Pandya looks annoyed, not at all happy. This was on the pads and MSD flicked it over square leg for a boundary, no one in the deep so there was no chance to stop it ",19.4,CSK,MS Dhoni,Joshua Little,265,11128,right,left,pace,Narendra Modi Stadium,False,N/A,flick,,leg-stump,in-control,normal,square,1,4
66169," Joshua Little to Dhoni, SIX, and MSD makes sure to bring the roof down! Doesn't disappoint his fans and those chants. Typical Dhoni. Back of a length delivery by Joshua Little and the boss has dispatched this over deep square with a ferocious pull. The crowd goes even louder, even wilder ",19.3,CSK,MS Dhoni,Joshua Little,265,11128,right,left,pace,Narendra Modi Stadium,False,N/A,pull,back of a length,,in-control,normal,square,1,6
66169," Joshua Little to Santner, leg byes, 1 run, fired on leg, a quick full toss that clips Santner's pads and rolls to square leg ",19.2,CSK,Mitchell Santner,Joshua Little,10100,11128,left,left,pace,Narendra Modi Stadium,False,N/A,pushed slightly,full-toss,leg-stump,in-control,quick,square,1,1
66169," Joshua Little to Dhoni, 1 run, width on offer and it has been slashed through cover by MS ",19.1,CSK,MS Dhoni,Joshua Little,265,11128,right,left,pace,Narendra Modi Stadium,False,N/A,pushed slightly,,outside-off,in-control,normal,cover,1,1
66169," Shami to Dhoni, 1 run, short ball by Shami to end an impressive spell and Dhoni pulls it through the leg-side for a single ",18.6,CSK,MS Dhoni,Mohammed Shami,265,7909,right,right,pace,Narendra Modi Stadium,False,N/A,pull,short,,in-control,normal,,1,1
66169," Shami to Santner, 1 run, short and quick on middle and leg, nudged to long-on for a single as Santner got cramped for room again ",18.5,CSK,Mitchell Santner,Mohammed Shami,10100,7909,left,right,pace,Narendra Modi Stadium,False,N/A,pushed slightly,short,middle-stump,in-control,quick,long-on,1,1
66169," Shami to Santner, no run, pats this back to the bowler as Shami cramps him up ",18.4,CSK,Mitchell Santner,Mohammed Shami,10100,7909,left,right,pace,Narendra Modi Stadium,False,N/A,,,,in-control,normal,,1,0
66169," Shami to Shivam Dube, out Caught by Rashid Khan!! Shami's a strike bowler and he'll continue to be one. That's a comeback you can expect from him. Conceded a six against a short ball just on the last ball, and he challenges the batter with another short one. Shivam Dube goes for a pull just like he did on the last ball, but this time he ends up getting a top edge. Straight to Rashid at deep square leg and he's not going to miss out on those. Shivam Dube c Rashid Khan b Shami 19(18) [6s-1] ",18.3,CSK,Shivam Dube,Mohammed Shami,11195,7909,left,right,pace,Narendra Modi Stadium,True,edge&caught,pull,short,,no-control,normal,square,1,6
